date,topic,sum_probability
2017-05-18,4,0.1363753312720848
2017-05-18,5,3.3292844522968203e-4
2017-05-18,6,0.2550038648409894
2017-05-18,7,0.01480399734982332
2017-05-18,8,3.3292844522968203e-4
2017-05-18,9,3.3292844522968203e-4
2017-05-18,10,3.3292844522968203e-4
2017-05-19,1,0.24860905607870418
2017-05-19,2,3.263010396558651e-4
2017-05-19,3,0.06299471843061938
2017-05-19,4,0.15932211693923745
2017-05-19,5,0.003839181601716755
2017-05-19,6,0.2567665820701008
2017-05-19,7,0.03311318628555751
2017-05-19,8,0.005010141789070385
2017-05-19,9,3.263010396558651e-4
2017-05-19,10,0.22969241472568175
2017-05-20,1,1.4880952380952382e-4
2017-05-20,2,0.5016369047619048
2017-05-20,3,0.001636904761904762
2017-05-20,4,1.4880952380952382e-4
2017-05-20,5,0.05520833333333334
2017-05-20,6,0.2456845238095238
2017-05-20,7,0.19508928571428572
2017-05-20,8,1.4880952380952382e-4
